"","team","season","game_type","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified","bye","week_diff"
"12","ARI",2023,"REG",11,"00-0038705","RB","Emari Demercado","Emari","Demercado","Toe","","Out","Toe","","Did Not Participate In Practice","2023-11-17T20:45:45Z",14,-3
"13","ARI",2023,"REG",11,"00-0035343","DE","Jonathan Ledbetter","Jonathan","Ledbetter","Shoulder","","Out","Shoulder","","Did Not Participate In Practice","2023-11-17T20:45:52Z",14,-3
"14","ARI",2023,"REG",11,"00-0033251","WR","Zach Pascal","Zach","Pascal","Hamstring","","Out","Hamstring","","Did Not Participate In Practice","2023-11-17T20:45:59Z",14,-3
"15","ARI",2023,"REG",11,"00-0035992","C","Trystan Colon","Trystan","Colon","Calf","","Questionable","Calf","","Limited Participation in Practice","2023-11-17T20:45:31Z",14,-3
"16","ARI",2023,"REG",11,"00-0032222","T","D.J. Humphries","D.J.","Humphries","Ankle","","Questionable","Ankle","","Limited Participation in Practice","2023-11-17T20:45:31Z",14,-3
"17","ARI",2023,"REG",11,"00-0035334","DT","Kevin Strong","Kevin","Strong","Knee","","Questionable","Knee","","Limited Participation in Practice","2023-11-17T20:45:31Z",14,-3
"18","ARI",2023,"REG",11,"00-0034490","LB","Ezekiel Turner","Ezekiel","Turner","Hamstring","","Questionable","Hamstring","","Limited Participation in Practice","2023-11-17T20:45:31Z",14,-3
"19","ARI",2023,"REG",11,"00-0038559","WR","Michael Wilson","Michael","Wilson","Shoulder","","Questionable","Shoulder","","Limited Participation in Practice","2023-11-17T20:45:31Z",14,-3
"20","ARI",2023,"REG",2,"00-0029316","T","Kelvin Beachum","Kelvin","Beachum","Hand","","Questionable","Hand","","Limited Participation in Practice","2023-09-15T19:54:13Z",14,-12
"21","ARI",2023,"REG",2,"00-0036371","DT","Leki Fotu","Leki","Fotu","Shoulder","","Questionable","Shoulder","","Limited Participation in Practice","2023-09-15T19:54:13Z",14,-12
"22","ARI",2023,"REG",13,"00-0038559","WR","Michael Wilson","Michael","Wilson","Shoulder","","Out","Shoulder","","Did Not Participate In Practice","2023-12-01T19:24:54Z",14,-1
"23","ARI",2023,"REG",13,"00-0033676","G","Elijah Wilkinson","Elijah","Wilkinson","Neck","","Out","Neck","","Limited Participation in Practice","2023-12-01T19:24:49Z",14,-1
"24","ARI",2023,"REG",13,"00-0035662","WR","Marquise Brown","Marquise","Brown","Heel","","Questionable","Heel","","Did Not Participate In Practice","2023-12-01T19:24:24Z",14,-1
"28","ARI",2023,"REG",3,"00-0033563","DE","Carlos Watkins","Carlos","Watkins","Biceps","","Out","Biceps","","Did Not Participate In Practice","2023-09-22T19:29:46Z",14,-11
"29","ARI",2023,"REG",3,"00-0034801","LB","Josh Woods","Josh","Woods","Ankle","","Out","Ankle","","Did Not Participate In Practice","2023-09-22T19:29:54Z",14,-11
"30","ARI",2023,"REG",3,"00-0036371","DT","Leki Fotu","Leki","Fotu","Shoulder","","Questionable","Shoulder","","Limited Participation in Practice","2023-09-22T19:29:35Z",14,-11
"31","ARI",2023,"REG",16,"00-0036896","LB","Victor Dimukeje","Victor","Dimukeje","Foot","","Questionable","Foot","","Limited Participation in Practice","2023-12-22T20:05:33Z",14,2
"33","ARI",2023,"REG",13,"00-0032933","CB","Antonio Hamilton","Antonio","Hamilton","Groin","","Out","Groin","","Did Not Participate In Practice","2023-12-01T19:24:33Z",14,-1
"34","ARI",2023,"REG",13,"00-0038663","CB","Starling Thomas","Starling","Thomas","Ankle","","Out","Ankle","","Did Not Participate In Practice","2023-12-01T19:24:41Z",14,-1
"35","ARI",2023,"REG",17,"00-0036371","DT","Leki Fotu","Leki","Fotu","Hand","","Out","Hand","","Limited Participation in Practice","2023-12-29T19:35:34Z",14,3
"36","ARI",2023,"REG",17,"00-0036011","CB","Bobby Price","Bobby","Price","Quadricep","","Questionable","Quadricep","","Full Participation in Practice","2023-12-29T19:34:54Z",14,3
"37","ARI",2023,"REG",17,"00-0035228","QB","Kyler Murray","Kyler","Murray","Illness","","Questionable","Illness","","Limited Participation in Practice","2023-12-29T19:34:54Z",14,3
"38","ARI",2023,"REG",13,"00-0033251","WR","Zach Pascal","Zach","Pascal","Not injury related - personal matter","","Questionable","Not injury related - personal matter","","Did Not Participate In Practice","2023-12-01T19:24:24Z",14,-1
"39","ARI",2023,"REG",13,"00-0037141","S","Joey Blount","Joey","Blount","Knee","","Questionable","Knee","","Limited Participation in Practice","2023-12-01T19:24:24Z",14,-1
"40","ARI",2023,"REG",13,"00-0037744","TE","Trey McBride","Trey","McBride","Groin","","Questionable","Groin","","Limited Participation in Practice","2023-12-01T19:24:24Z",14,-1
"41","ARI",2023,"REG",13,"00-0035334","DT","Kevin Strong","Kevin","Strong","Knee","","Questionable","Knee","","Limited Participation in Practice","2023-12-01T19:24:24Z",14,-1
"42","ARI",2023,"REG",13,"00-0035705","S","Jalen Thompson","Jalen","Thompson","Ribs","","Questionable","Ribs","","Limited Participation in Practice","2023-12-01T19:24:24Z",14,-1
"45","ARI",2023,"REG",17,"00-0035662","WR","Marquise Brown","Marquise","Brown","Heel","","Out","Heel","","Did Not Participate In Practice","2023-12-29T19:35:19Z",14,3
"46","ARI",2023,"REG",17,"00-0035343","DE","Jonathan Ledbetter","Jonathan","Ledbetter","Knee","","Out","Knee","","Did Not Participate In Practice","2023-12-29T19:35:27Z",14,3
"47","ARI",2023,"REG",17,"00-0038660","LB","Trevor Nowaske","Trevor","Nowaske","not injury related - travel","","Out","not injury related - travel","","Did Not Participate In Practice","2023-12-29T21:53:44Z",14,3
"48","ARI",2023,"REG",10,"00-0038559","WR","Michael Wilson","Michael","Wilson","Shoulder","","Questionable","Shoulder","","Limited Participation in Practice","2023-11-10T19:53:44Z",14,-4
"49","ARI",2023,"REG",7,"00-0033890","S","Budda Baker","Budda","Baker","Hamstring","","Questionable","Hamstring","","Limited Participation in Practice","2023-10-20T19:41:34Z",14,-7
"50","ARI",2023,"REG",7,"00-0038984","CB","Kei'Trel Clark","Kei'Trel","Clark","Hamstring","","Questionable","Hamstring","","Limited Participation in Practice","2023-10-20T19:41:34Z",14,-7
"51","ARI",2023,"REG",17,"00-0038600","LB","Owen Pappoe","Owen","Pappoe","Ankle","","Questionable","Ankle","","Limited Participation in Practice","2023-12-29T19:34:54Z",14,3
"52","ARI",2023,"REG",17,"00-0039007","CB","Garrett Williams","Garrett","Williams","Knee","","Questionable","Knee","","Limited Participation in Practice","2023-12-29T19:34:54Z",14,3
"53","ARI",2023,"REG",4,"00-0038540","T","Paris Johnson","Paris","Johnson","Ankle","","Questionable","Ankle","","Limited Participation in Practice","2023-09-29T19:35:35Z",14,-10
"54","ARI",2023,"REG",10,"00-0038705","RB","Emari Demercado","Emari","Demercado","Toe","","Out","Toe","","Did Not Participate In Practice","2023-11-10T19:53:59Z",14,-4
"55","ARI",2023,"REG",10,"00-0032222","T","D.J. Humphries","D.J.","Humphries","Ankle","","Questionable","Ankle","","Did Not Participate In Practice","2023-11-10T19:53:44Z",14,-4
"57","ARI",2023,"REG",2,"00-0035636","DE","L.J. Collier","L.J.","Collier","Biceps","","Out","Biceps","","Did Not Participate In Practice","2023-09-15T19:55:48Z",14,-12
"58","ARI",2023,"REG",2,"00-0034801","LB","Josh Woods","Josh","Woods","Ankle","","Out","Ankle","","Did Not Participate In Practice","2023-09-15T19:55:40Z",14,-12
"59","ARI",2023,"REG",2,"00-0033890","S","Budda Baker","Budda","Baker","Hamstring","","Questionable","Hamstring","","Limited Participation in Practice","2023-09-15T19:54:13Z",14,-12
"60","ARI",2023,"REG",10,"00-0032141","TE","Geoff Swaim","Geoff","Swaim","Back","","Questionable","Back","","Limited Participation in Practice","2023-11-10T19:53:44Z",14,-4
"61","ARI",2023,"REG",7,"00-0033251","WR","Zach Pascal","Zach","Pascal","Neck","","Questionable","Neck","","Did Not Participate In Practice","2023-10-20T19:41:34Z",14,-7
"63","ARI",2023,"REG",5,"00-0035343","DE","Jonathan Ledbetter","Jonathan","Ledbetter","Finger","","Out","Finger","","Did Not Participate In Practice","2023-10-06T19:51:50Z",14,-9
"64","ARI",2023,"REG",7,"00-0035334","DT","Kevin Strong","Kevin","Strong","Calf","","Questionable","Calf","","Limited Participation in Practice","2023-10-20T19:41:34Z",14,-7
"65","ARI",2023,"REG",7,"00-0039007","CB","Garrett Williams","Garrett","Williams","Knee","","Questionable","Knee","","Limited Participation in Practice","2023-10-20T19:41:34Z",14,-7
"66","ARI",2023,"REG",7,"00-0034801","LB","Josh Woods","Josh","Woods","Back","","Questionable","Back","","Limited Participation in Practice","2023-10-20T19:41:34Z",14,-7
"70","ARI",2023,"REG",7,"00-0032933","CB","Antonio Hamilton","Antonio","Hamilton","Groin","","Out","Groin","","Did Not Participate In Practice","2023-10-20T19:41:52Z",14,-7
"71","ARI",2023,"REG",7,"00-0035705","S","Jalen Thompson","Jalen","Thompson","Hamstring","","Out","Hamstring","","Did Not Participate In Practice","2023-10-20T19:41:58Z",14,-7
"72","ARI",2023,"REG",7,"00-0033676","G","Elijah Wilkinson","Elijah","Wilkinson","Neck","","Out","Neck","","Did Not Participate In Practice","2023-10-20T19:42:08Z",14,-7
"73","ARI",2023,"REG",7,"00-0035228","QB","Kyler Murray","Kyler","Murray","Knee","","Out","Knee","","Limited Participation in Practice","2023-10-20T19:42:16Z",14,-7
"77","ARI",2023,"REG",5,"00-0039007","CB","Garrett Williams","Garrett","Williams","Knee","","Out","Knee","","Limited Participation in Practice","2023-10-06T19:51:40Z",14,-9
"83","ARI",2023,"REG",18,"00-0032222","T","D.J. Humphries","D.J.","Humphries","Knee","","Out","Knee","","Did Not Participate In Practice","2024-01-05T20:42:12Z",14,4
"87","ARI",2023,"REG",12,"00-0035662","WR","Marquise Brown","Marquise","Brown","Heel","","Questionable","Heel","","Did Not Participate In Practice","2023-11-24T20:55:44Z",14,-2
"93","ARI",2023,"REG",10,"00-0035992","C","Trystan Colon","Trystan","Colon","Calf","","Out","Calf","","Did Not Participate In Practice","2023-11-10T19:53:51Z",14,-4
"94","ARI",2023,"REG",4,"00-0035662","WR","Marquise Brown","Marquise","Brown","Thumb","","Questionable","Thumb","","Limited Participation in Practice","2023-09-29T19:35:35Z",14,-10
"95","ARI",2023,"REG",5,"00-0034801","LB","Josh Woods","Josh","Woods","Ankle","","Questionable","Ankle","","Full Participation in Practice","2023-10-06T19:51:24Z",14,-9
"96","ARI",2023,"REG",10,"00-0034490","LB","Ezekiel Turner","Ezekiel","Turner","Hamstring","","Questionable","Hamstring","","Did Not Participate In Practice","2023-11-10T19:53:44Z",14,-4
"97","ARI",2023,"REG",10,"00-0033553","RB","James Conner","James","Conner","Knee","","Questionable","Knee","","Limited Participation in Practice","2023-11-10T19:53:44Z",14,-4
"98","ARI",2023,"REG",10,"00-0034346","G","Will Hernandez","Will","Hernandez","Knee","","Questionable","Knee","","Limited Participation in Practice","2023-11-10T19:53:44Z",14,-4
"99","ARI",2023,"REG",10,"00-0035853","T","Carter O'Donnell","Carter","O'Donnell","Ankle","","Questionable","Ankle","","Limited Participation in Practice","2023-11-10T19:53:44Z",14,-4
"100","ARI",2023,"REG",15,"00-0032141","TE","Geoff Swaim","Geoff","Swaim","Back","","Questionable","Back","","Limited Participation in Practice","2023-12-15T20:49:02Z",14,1
"101","ARI",2023,"REG",9,"00-0035961","LB","Krys Barnes","Krys","Barnes","Hamstring","","Questionable","Hamstring","","Limited Participation in Practice","2023-11-03T19:26:53Z",14,-5
"102","ARI",2023,"REG",12,"00-0037141","S","Joey Blount","Joey","Blount","Knee","","Questionable","Knee","","Limited Participation in Practice","2023-11-24T20:55:44Z",14,-2
"104","ARI",2023,"REG",4,"00-0035343","DE","Jonathan Ledbetter","Jonathan","Ledbetter","Finger","","Out","Finger","","Did Not Participate In Practice","2023-09-29T19:35:52Z",14,-10
"106","ARI",2023,"REG",15,"00-0037080","LB","Tyreke Smith","Tyreke","Smith","not injury related - travel","","Out","not injury related - travel","","Did Not Participate In Practice","2023-12-15T21:43:43Z",14,1
"107","ARI",2023,"REG",15,"00-0036011","CB","Bobby Price","Bobby","Price","Quadricep","","Out","Quadricep","","Limited Participation in Practice","2023-12-15T20:49:11Z",14,1
"108","ARI",2023,"REG",16,"00-0035662","WR","Marquise Brown","Marquise","Brown","Heel","","Out","Heel","","Did Not Participate In Practice","2023-12-22T20:06:07Z",14,2
"109","ARI",2023,"REG",16,"00-0039007","CB","Garrett Williams","Garrett","Williams","Knee","","Out","Knee","","Did Not Participate In Practice","2023-12-22T20:05:43Z",14,2
"110","ARI",2023,"REG",16,"00-0036011","CB","Bobby Price","Bobby","Price","Quadricep","","Out","Quadricep","","Limited Participation in Practice","2023-12-22T20:05:50Z",14,2
"111","ARI",2023,"REG",16,"00-0034623","S","Andre Chachere","Andre","Chachere","Shoulder","","Questionable","Shoulder","","Limited Participation in Practice","2023-12-22T20:05:33Z",14,2
"112","ARI",2023,"REG",12,"00-0035705","S","Jalen Thompson","Jalen","Thompson","Back","","Questionable","","","
    ","2023-11-25T21:37:13Z",14,-2
"113","ARI",2023,"REG",15,"00-0035859","P","Blake Gillikin","Blake","Gillikin","Back","","Questionable","Back","","Limited Participation in Practice","2023-12-15T20:49:02Z",14,1
"114","ARI",2023,"REG",9,"00-0035228","QB","Kyler Murray","Kyler","Murray","Knee","","Questionable","Knee","","Full Participation in Practice","2023-11-03T19:27:28Z",14,-5
"115","ARI",2023,"REG",8,"00-0035961","LB","Krys Barnes","Krys","Barnes","Hamstring","","Out","Hamstring","","Did Not Participate In Practice","2023-10-27T20:01:58Z",14,-6
"116","ARI",2023,"REG",12,"00-0038705","RB","Emari Demercado","Emari","Demercado","Toe","","Questionable","Toe","","Limited Participation in Practice","2023-11-24T20:55:44Z",14,-2
"117","ARI",2023,"REG",12,"00-0035343","DE","Jonathan Ledbetter","Jonathan","Ledbetter","Shoulder","","Questionable","Shoulder","","Limited Participation in Practice","2023-11-24T20:55:44Z",14,-2
"118","ARI",2023,"REG",12,"00-0037330","LB","Jesse Luketa","Jesse","Luketa","Ankle","","Questionable","Ankle","","Limited Participation in Practice","2023-11-24T20:55:44Z",14,-2
"120","ARI",2023,"REG",4,"00-0035961","LB","Krys Barnes","Krys","Barnes","Finger","","Questionable","Finger","","Limited Participation in Practice","2023-09-29T19:35:35Z",14,-10
"121","ARI",2023,"REG",15,"00-0033676","G","Elijah Wilkinson","Elijah","Wilkinson","Neck","","Questionable","Neck","","Full Participation in Practice","2023-12-15T20:49:02Z",14,1
"123","ARI",2023,"REG",6,"00-0035705","S","Jalen Thompson","Jalen","Thompson","Hamstring","","Out","Hamstring","","Did Not Participate In Practice","2023-10-13T19:46:28Z",14,-8
"124","ARI",2023,"REG",6,"00-0035300","T","Dennis Daley","Dennis","Daley","Ankle","","Questionable","Ankle","","Full Participation in Practice","2023-10-13T19:46:10Z",14,-8
"125","ARI",2023,"REG",6,"00-0035662","WR","Marquise Brown","Marquise","Brown","Illness","","Questionable","Illness","","Limited Participation in Practice","2023-10-13T19:46:10Z",14,-8
"126","ARI",2023,"REG",15,"00-0035961","LB","Krys Barnes","Krys","Barnes","Ribs","","Questionable","Ribs","","Limited Participation in Practice","2023-12-15T20:49:02Z",14,1
"127","ARI",2023,"REG",8,"00-0035228","QB","Kyler Murray","Kyler","Murray","Knee","","Doubtful","Knee","","Full Participation in Practice","2023-10-27T20:02:49Z",14,-6
"128","ARI",2023,"REG",12,"00-0033251","WR","Zach Pascal","Zach","Pascal","Hamstring","","Questionable","Hamstring","","Limited Participation in Practice","2023-11-24T20:55:44Z",14,-2
"129","ARI",2023,"REG",8,"00-0035334","DT","Kevin Strong","Kevin","Strong","Shoulder","","Out","Shoulder","","Did Not Participate In Practice","2023-10-27T20:02:05Z",14,-6
"130","ARI",2023,"REG",8,"00-0033676","G","Elijah Wilkinson","Elijah","Wilkinson","Neck","","Out","Neck","","Did Not Participate In Practice","2023-10-27T20:02:15Z",14,-6
"131","ARI",2023,"REG",18,"00-0033676","G","Elijah Wilkinson","Elijah","Wilkinson","Illness","","Questionable","Illness","","Limited Participation in Practice","2024-01-05T20:41:56Z",14,4
"132","ARI",2023,"REG",5,"00-0037299","RB","Keaontay Ingram","Keaontay","Ingram","Neck","","Questionable","Neck","","Limited Participation in Practice","2023-10-06T19:51:24Z",14,-9
"133","ARI",2023,"REG",4,"00-0037299","RB","Keaontay Ingram","Keaontay","Ingram","Neck","","Questionable","Neck","","Did Not Participate In Practice","2023-09-29T19:35:35Z",14,-10
"134","ARI",2023,"REG",5,"00-0035300","T","Dennis Daley","Dennis","Daley","Ankle","","Questionable","Ankle","","Full Participation in Practice","2023-10-06T19:51:24Z",14,-9
"135","ARI",2023,"REG",16,"00-0035500","WR","Greg Dortch","Greg","Dortch","Shoulder","","Questionable","Shoulder","","Limited Participation in Practice","2023-12-22T20:05:33Z",14,2
"136","ARI",2023,"REG",16,"00-0032933","CB","Antonio Hamilton","Antonio","Hamilton","Calf","","Questionable","Calf","","Limited Participation in Practice","2023-12-22T20:05:33Z",14,2
"137","ARI",2023,"REG",12,"00-0035334","DT","Kevin Strong","Kevin","Strong","Knee","","Out","Knee","","Did Not Participate In Practice","2023-11-24T20:56:10Z",14,-2
"138","ARI",2023,"REG",12,"00-0038559","WR","Michael Wilson","Michael","Wilson","Shoulder","","Out","Shoulder","","Did Not Participate In Practice","2023-11-24T20:56:16Z",14,-2
"139","ARI",2023,"REG",8,"00-0035705","S","Jalen Thompson","Jalen","Thompson","Hamstring","","Questionable","Hamstring","","Limited Participation in Practice","2023-10-27T20:01:42Z",14,-6
"140","ARI",2023,"REG",9,"00-0035992","C","Trystan Colon","Trystan","Colon","Calf","","Out","Calf","","Did Not Participate In Practice","2023-11-03T19:27:01Z",14,-5
"141","ARI",2023,"REG",4,"00-0034801","LB","Josh Woods","Josh","Woods","Ankle","","Out","Ankle","","Did Not Participate In Practice","2023-09-29T19:35:59Z",14,-10
"142","ARI",2023,"REG",9,"00-0035500","WR","Greg Dortch","Greg","Dortch","Ankle","","Questionable","Ankle","","Limited Participation in Practice","2023-11-03T19:26:53Z",14,-5
"143","ARI",2023,"REG",15,"00-0035662","WR","Marquise Brown","Marquise","Brown","Heel","","Questionable","Heel","","Limited Participation in Practice","2023-12-15T20:49:02Z",14,1
"144","ARI",2023,"REG",9,"00-0035334","DT","Kevin Strong","Kevin","Strong","Shoulder","","Questionable","Shoulder","","Limited Participation in Practice","2023-11-03T19:26:53Z",14,-5
"145","ARI",2023,"REG",12,"00-0032933","CB","Antonio Hamilton","Antonio","Hamilton","Groin","","Out","Groin","","Did Not Participate In Practice","2023-11-24T20:56:03Z",14,-2
"146","ARI",2023,"REG",8,"00-0035500","WR","Greg Dortch","Greg","Dortch","Ankle","","Questionable","Ankle","","Did Not Participate In Practice","2023-10-27T20:01:42Z",14,-6
"147","ARI",2023,"REG",18,"00-0034623","S","Andre Chachere","Andre","Chachere","Shoulder","","Questionable","Shoulder","","Limited Participation in Practice","2024-01-05T20:41:56Z",14,4
"148","ARI",2023,"REG",8,"00-0032933","CB","Antonio Hamilton","Antonio","Hamilton","Groin","","Questionable","Groin","","Limited Participation in Practice","2023-10-27T20:01:42Z",14,-6
"149","ARI",2023,"REG",18,"00-0039007","CB","Garrett Williams","Garrett","Williams","Ankle","","Out","Ankle","","Did Not Participate In Practice","2024-01-05T20:42:17Z",14,4
"151","ARI",2023,"REG",9,"00-0038705","RB","Emari Demercado","Emari","Demercado","Toe","","Out","Toe","","Did Not Participate In Practice","2023-11-03T19:27:08Z",14,-5
"152","ARI",2023,"REG",9,"00-0038559","WR","Michael Wilson","Michael","Wilson","Shoulder","","Questionable","Shoulder","","Did Not Participate In Practice","2023-11-03T19:26:53Z",14,-5
"153","ARI",2023,"REG",5,"00-0034346","G","Will Hernandez","Will","Hernandez","Back","","Questionable","Back","","Did Not Participate In Practice","2023-10-06T19:51:24Z",14,-9
"154","ARI",2023,"REG",15,"00-0038559","WR","Michael Wilson","Michael","Wilson","Neck","","Questionable","Neck","","Limited Participation in Practice","2023-12-15T20:49:02Z",14,1
"155","ARI",2023,"REG",18,"00-0033251","WR","Zach Pascal","Zach","Pascal","Hamstring","","Questionable","Hamstring","","Limited Participation in Practice","2024-01-05T20:41:56Z",14,4
"156","ARI",2023,"REG",18,"00-0036896","LB","Victor Dimukeje","Victor","Dimukeje","Foot","","Questionable","Foot","","Limited Participation in Practice","2024-01-05T20:41:56Z",14,4
"158","ARI",2023,"REG",18,"00-0036371","DT","Leki Fotu","Leki","Fotu","Hand","","Questionable","Hand","","Limited Participation in Practice","2024-01-05T20:41:56Z",14,4
"159","ARI",2023,"REG",18,"00-0038623","DE","Dante Stills","Dante","Stills","Knee","","Out","Knee","","Did Not Participate In Practice","2024-01-05T20:42:06Z",14,4
"160","ARI",2023,"REG",18,"00-0034473","LB","Dennis Gardeck","Dennis","Gardeck","Knee","","Questionable","Knee","","Limited Participation in Practice","2024-01-05T20:41:56Z",14,4
"168","ATL",2023,"REG",18,"00-0034843","CB","Mike Hughes","Mike","Hughes","Concussion","","Questionable","Concussion","","Full Participation in Practice","2024-01-05T18:49:45Z",11,7
"170","ATL",2023,"REG",17,"00-0035235","T","Kaleb McGary","Kaleb","McGary","Knee","","Questionable","Knee","","Limited Participation in Practice","2023-12-29T18:24:34Z",11,6
"173","ATL",2023,"REG",2,"00-0037810","LB","Troy Andersen","Troy","Andersen","Concussion","","Out","Concussion","","Limited Participation in Practice","2023-09-15T17:32:51Z",11,-9
"174","ATL",2023,"REG",18,"00-0031800","QB","Taylor Heinicke","Taylor","Heinicke","Ankle","","Questionable","Ankle","","Limited Participation in Practice","2024-01-05T18:49:25Z",11,7
"175","ATL",2023,"REG",15,"00-0031279","T","Jake Matthews","Jake","Matthews","Knee","","Questionable","Knee","","Limited Participation in Practice","2023-12-15T20:04:44Z",11,4
"180","ATL",2023,"REG",15,"00-0033051","DT","David Onyemata","David","Onyemata","Ankle","","Questionable","Ankle","","Limited Participation in Practice","2023-12-15T20:05:11Z",11,4
"181","ATL",2023,"REG",14,"00-0036204","DT","Lacale London","Lacale","London","Knee","","Out","Knee","","Full Participation in Practice","2023-12-08T19:03:24Z",11,3
"182","ATL",2023,"REG",15,"00-0035630","G","Chris Lindstrom","Chris","Lindstrom","Ankle","","Questionable","Ankle","","Limited Participation in Practice","2023-12-15T20:04:30Z",11,4
"184","ATL",2023,"REG",3,"00-0036274","CB","Jeff Okudah","Jeff","Okudah","Foot","","Questionable","Foot","","Full Participation in Practice","2023-09-22T17:23:20Z",11,-8
"187","ATL",2023,"REG",2,"00-0036274","CB","Jeff Okudah","Jeff","Okudah","Foot","","Questionable","Foot","","Limited Participation in Practice","2023-09-15T17:33:09Z",11,-9
"190","ATL",2023,"REG",8,"00-0032065","P","Bradley Pinion","Bradley","Pinion","Illness","","Questionable","","","
    ","2023-10-28T20:07:58Z",11,-3
"191","ATL",2023,"REG",8,"00-0032146","LB","Bud Dupree","Bud","Dupree","Groin","","Questionable","Groin","","Limited Participation in Practice","2023-10-27T18:13:38Z",11,-3
"192","ATL",2023,"REG",18,"00-0038980","DE","Zach Harrison","Zach","Harrison","Knee","","Questionable","Knee","","Limited Participation in Practice","2024-01-05T18:49:59Z",11,7
"193","ATL",2023,"REG",14,"00-0033051","DT","David Onyemata","David","Onyemata","Ankle","","Out","Ankle","","Did Not Participate In Practice","2023-12-08T19:04:36Z",11,3
"194","ATL",2023,"REG",18,"00-0037810","LB","Troy Andersen","Troy","Andersen","Pectoral","","Out","Pectoral","","Limited Participation in Practice","2024-01-05T18:50:27Z",11,7
"195","ATL",2023,"REG",1,"00-0036274","CB","Jeff Okudah","Jeff","Okudah","Foot","","Out","Foot","","Did Not Participate In Practice","2023-09-08T17:42:34Z",11,-10
"197","ATL",2023,"REG",14,"00-0034843","CB","Mike Hughes","Mike","Hughes","Hand","","Questionable","Hand","","Full Participation in Practice","2023-12-08T19:05:22Z",11,3
"198","ATL",2023,"REG",3,"00-0030578","RB","Cordarrelle Patterson","Cordarrelle","Patterson","Thigh","","Questionable","Thigh","","Limited Participation in Practice","2023-09-22T17:23:20Z",11,-8
"201","ATL",2023,"REG",12,"00-0033555","WR","Mack Hollins","Mack","Hollins","Ankle","","Out","Ankle","","Did Not Participate In Practice","2023-11-24T18:24:43Z",11,1
"202","ATL",2023,"REG",10,"00-0037034","CB","Dee Alford","Dee","Alford","Ankle","","Out","Ankle","","Did Not Participate In Practice","2023-11-10T18:59:51Z",11,-1
"203","ATL",2023,"REG",10,"00-0033555","WR","Mack Hollins","Mack","Hollins","Ankle","","Out","Ankle","","Did Not Participate In Practice","2023-11-10T19:00:01Z",11,-1
"204","ATL",2023,"REG",10,"00-0033051","DT","David Onyemata","David","Onyemata","Ankle","","Questionable","Ankle","","Limited Participation in Practice","2023-11-10T18:59:41Z",11,-1
"205","ATL",2023,"REG",14,"00-0035235","T","Kaleb McGary","Kaleb","McGary","Knee","","Out","Knee","","Did Not Participate In Practice","2023-12-08T19:03:33Z",11,3
"208","ATL",2023,"REG",15,"00-0037587","LB","Nate Landman","Nate","Landman","Knee","","Questionable","Knee","","Limited Participation in Practice","2023-12-15T20:03:30Z",11,4
"209","ATL",2023,"REG",14,"00-0033555","WR","Mack Hollins","Mack","Hollins","Ankle","","Questionable","Ankle","","Full Participation in Practice","2023-12-08T19:05:10Z",11,3
"210","ATL",2023,"REG",1,"00-0030578","RB","Cordarrelle Patterson","Cordarrelle","Patterson","Thigh","","Questionable","Thigh","","Limited Participation in Practice","2023-09-08T17:42:57Z",11,-10
